GJA1	TJP1
SECISBP2	EEFSEC
MT-ND3	MT-ND4
MT-ND1	MT-ND4
MT-ND2	MT-ND4
MT-ND3	MT-ND5
TMEM186	MT-ND5
MT-ND6	MT-ND4
MT-ND1	MT-ND5
MT-ND2	MT-ND5
MT-ND6	MT-ND5
MT-ND4	MT-ND5
TMEM186	MT-ND4
NDUFB6	MT-ND4
COA1	MT-ND5
NDUFB6	MT-ND5
COA1	MT-ND4
NDUFAF4	MT-ND4
NDUFAF5	MT-ND4
NDUFAF4	MT-ND5
TIMMDC1	MT-ND5
NDUFAF5	MT-ND5
NDUFAF6	MT-ND5
NDUFAF6	MT-ND4
TIMMDC1	MT-ND4
NDUFAF3	MT-ND4
NDUFAF3	MT-ND5
PIK3C3	B2M
ATG14	B2M
BECN1	B2M
PIK3R4	B2M
NDUFS5	MT-ND5
NDUFS5	TIMMDC1
NDUFS5	NDUFAF6
NDUFS5	NDUFAF5
NDUFS5	NDUFAF3
NDUFS5	MT-ND4
NDUFS5	MT-ND1
NDUFS5	NDUFAF4
PCBP2	ITCH
PCBP2	MAVS
MAVS	ITCH
AAMP	NOD2
TBL1XR1	NR1H3
TBL1XR1	NR1H2
TBL1XR1	RXRB
HDAC3	NR1H3
HDAC3	RXRB
GPS2	RXRA
TBL1X	RXRA
GPS2	NR1H3
NCOR2	RXRA
HDAC3	NR1H2
NCOR2	NR1H3
GPS2	RXRB
NCOR1	RXRA
HDAC3	RXRA
NCOR2	NR1H2
TBL1X	NR1H2
NCOR1	NR1H3
TBL1X	NR1H3
NCOR1	NR1H2
NCOR2	RXRB
NCOR1	RXRB
TBL1X	RXRB
TBL1XR1	RXRA
GPS2	NR1H2
APOA1	ABCA7
ABCD1	ABCD2
ABCD3	ABCD1
ABCD3	ABCD2
ABCD4	LMBRD1
ABCE1	RNASEL
EIF2S1	ABCF1
EIF2S2	ABCF1
EIF2S3	ABCF1
ABCG5	ABCG8
ABL1	CTNNA2
ABL1	CTNNA1
ABL1	CTNNB1
ABL1	SPAG9
ABL1	BOC
ABL1	CDC42
ABL1	BNIP2
ABL1	CDON
ABL1	CDH15
ABL1	CDH2
GOLGB1	ACBD3
DCTN5	ACTR10
DCTN6	ACTR10
DCTN4	ACTR10
ACVR2A	ACVR1B
ACVR2B	ACVR1B
ACVR2B	CFC1
ACVR1B	TDGF1
ACVR2A	TDGF1
ACVR2B	TDGF1
TDGF1	CFC1
ACVR1B	CFC1
ACVR2A	CFC1
ACVR2B	ACVR2A
ACVR1C	TDGF1
ACVR2B	ACVR1C
ACVR1C	CFC1
ACVRL1	GDF2
ACVRL1	BMP10
TSPAN14	ADAM10
TSPAN15	ADAM10
TSPAN33	ADAM10
TSPAN5	ADAM10
LGI1	CACNG8
DLG4	ADAM23
LGI1	DLG4
CACNG3	ADAM23
CACNG8	ADAM23
ADAM22	ADAM23
LGI1	ADAM22
LGI1	CACNG3
LGI1	ADAM23
LGI1	CACNG2
CACNG2	ADAM23
LGI1	CACNG4
CACNG4	ADAM23
DLG4	CACNG2
DLG4	CACNG8
DLG4	CACNG3
CACNG4	ADAM22
CACNG8	ADAM22
DLG4	ADAM22
CACNG3	ADAM22
CACNG2	ADAM22
DLG4	CACNG4
ADAT3	ADAT2
CALM1	ADCY8
CALM1	ADCY1
GNAL	ADCY3
ADCYAP1	NTRK2
ADCYAP1R1	NTRK1
ADCYAP1	NTRK1
ADCYAP1R1	NTRK2
ADCYAP1	ADCYAP1R1
ADD1	ADD2
ADD2	DMTN
ADD1	DMTN
ADD1	ADD3
ADD3	DMTN
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADIPOR2	ADIPOR1
GNG2	ADORA2B
GNB1	ADORA2B
MYL3	MYL1
MYH6	MYL4
MYL2	MYL1
MYH3	MYL4
MYH6	MYL2
MYL2	MYL3
MYL3	MYL4
MYH6	MYH8
MYH8	MYL1
MYH6	MYL1
MYH8	MYL4
MYH3	MYL2
MYL4	MYL1
MYH8	MYL3
MYH3	MYH8
MYH3	MYL1
MYH8	MYL2
MYH6	MYL3
MYH3	MYL3
MYH3	MYH6
MYL2	MYL4
TTN	MYH6
MYBPC1	MYL3
MYBPC1	MYH8
TTN	MYL4
MYBPC2	MYL4
TTN	MYL2
MYBPC3	MYH6
TTN	MYH8
MYBPC2	MYL1
MYBPC3	MYL4
MYBPC2	MYL2
MYBPC3	MYL1
MYBPC3	MYH8
MYBPC2	MYL3
MYBPC3	MYH3
MYBPC3	MYL2
MYBPC2	MYH6
TTN	MYL3
TTN	MYL1
MYBPC1	MYH6
MYBPC1	MYL4
MYBPC3	MYL3
MYBPC1	MYL1
MYBPC2	MYH8
MYBPC1	MYL2
MYBPC2	MYH3
MYBPC1	MYH3
TTN	MYH3
GNG2	P2RY12
GNAI1	P2RY12
GNAI3	P2RY12
GNB1	P2RY12
GNAI2	P2RY12
GNAT3	P2RY12
P2RY1	GNA14
P2RY1	GNAQ
P2RY1	GNA11
P2RY1	GNA15
P2RY1	GNB1
P2RY1	GNG2
ADRA2A	GNAZ
ADRA2A	GNG2
ADRA2C	GNB1
ADRA2B	GNAZ
ADRA2B	GNG2
ADRA2C	GNAZ
ADRA2A	GNB1
ADRA2C	GNG2
ADRA2B	GNB1
ADRB2	GRK3
ADRB2	GRK5
ADRB2	GRK6
ADRB2	GRK2
ADRM1	UCHL5
ADRM1	USP14
MAPK1	AGER
MAPK3	AGER
VAMP7	AGFG1
H3C15	AGO1
H4C16	AGO1
H3-3B	AGO2
H3C12	AGO2
H4C16	AGO2
H3C15	AGO2
H3C12	AGO1
H3-3B	AGO1
DAG1	AGRN
APP	AGRN
LRP4	AGRN
MUSK	AGRN
PTPRS	AGRN
NCAM1	AGRN
AGTR1	AGT
AGT	AGTR2
ITPR3	AHCYL1
ITPR2	AHCYL1
ITPR1	AHCYL1
AHR	HSP90AB1
AIP	AHR
AHR	PTGES3
AHR	ARNT
AHR	ARNT2
ARNT	AHRR
ARNT2	AHRR
KCNQ1	KCNE2
AKAP9	KCNQ1
AKAP9	KCNE2
KCNQ1	KCNE1
KCNE1	KCNE2
AKAP9	KCNE1
TRIB3	AKT2
THEM4	AKT2
AKT1	TRIB3
AKT1	THEM4
NRF1	PPARGC1B
ALG14	ALG13
NPM1	FRS3
NPM1	FRS2
ASCC2	ALKBH3
ASCC3	ALKBH3
ASCC1	ALKBH3
LTC4S	ALOX5
ALOX5AP	ALOX5
LTC4S	ALOX5AP
ALPK1	TIFA
TIFA	TRAF6
ALPK1	TRAF6
RAMP2	CALCRL
RAMP3	CALCRL
DYNLL2	AMBRA1
DYNLL1	AMBRA1
PIK3C3	DYNLL2
PIK3C3	AMBRA1
BECN1	AMBRA1
PIK3C3	DYNLL1
ATG14	DYNLL2
PIK3R4	AMBRA1
ATG14	DYNLL1
BECN1	DYNLL2
PIK3R4	DYNLL2
PIK3R4	DYNLL1
ATG14	AMBRA1
BECN1	DYNLL1
AMH	AMHR2
AMOTL1	WWTR1
AMOTL2	WWTR1
AMOT	WWTR1
AMOTL2	YAP1
AMOTL1	YAP1
AMOT	YAP1
GRIA3	GRIA4
GRIA2	GRIA4
GRIA2	GRIA3
GRIA1	GRIA4
GRIA1	GRIA3
GRIA1	GRIA2
BIN1	AMPH
PRKAB2	PRKAG2
PRKAA2	PRKAG2
PRKAA2	PRKAB2
PRKAB1	PRKAG2
PRKAB1	PRKAG3
PRKAB2	PRKAG3
PRKAA1	PRKAB1
PRKAA2	PRKAG1
PRKAA1	PRKAG2
PRKAA2	PRKAG3
PRKAB2	PRKAG1
PRKAA2	PRKAB1
